n_tombo;ano_edicao;classificacao;titulo_livro;autor;volume;assunto
274/82;1974;294 / Ac 168s;Sri Isopanisad;A. C. Bhaktivedanta;1;Religiões Hindus
1292/86;1978;813 / L 278f;A Face oculta do Terror;A. J. Langguth;1;Literatura Americana - Romance
0209/95;1989;813 / Aa113e;Estado Escarlete;Aaron_ David;1;Literatura Americana - Romance
0194/91;1982;R 103 / Ab 122d;Dicionário de Filosofia;Abbagnano_ Nicola ;1;Filosofia - Dicionários
851/76;1969;109 / Ab 122h;História da Filosofia;Abbagnano_ Nicola ;1;Filosofia - História
0029/87;1945;R 981 / Ab 124h;História da Missão dos Padres Capuchinhos na Ilha do Maranhão;Abbeville_ Claude d;1;Brasil – História - Índios
927/89;1980;808.3 / Ab 124c;A Chama Negra I;Abbey_ Lynn ;1;Ficção Científica
697/90;1979;808.3 / Ab 124f;Filha da Lua Brilhante II;Abbey_ Lynn ;1;Ficção Científica
0159/18 - 0011/23;2015;869.3 / A 134a;Alice Black_ princesinha do inferno;Abbud_ Carlos Henrique;2;Literatura Brasileira
0161/18 - 0073/23;2017;869.3 / A 134v;A vida é uma tarde de chuva;Abbud_ Carlos Henrique;2;Ficção Brasileira
362/84;1978;869.91 / Ab 126c;Cantigas que Vêm da Montanha;Abbud_ Rodolpho ;1;1-Literatura Brasileira - Trovas /2-Nova Friburgo – Poesia
614/87 – 1112/98 – 0166/05;1978;R 869.91 / Ab 126c;Cantigas que Vêm da Montanha;Abbud_ Rodolpho ;3;1-Literatura Brasileira - Trovas /2-Nova Friburgo – Poesia
0684/07;1995;R 807 / A 135m;Movimentos e Estilos Literários;Abdala Junior_ Benjamin;1;Literatura Brasileira (2º grau)
1047/87 – 1048/87 -1049/87 – 0981/03 – 0365/04;;299 / Ab 136L;Na Luz da Verdade;Abdruschin;5;Religião não Cristã
1133/98;1993;241.52 / Ab 136d;Os Dez Mandamentos de Deus e o Pai Nosso;Abdruschin;1;1-Dragão /2- Pai Nosso
438/81;1979;299 / Ab 136e;O Esplendor da Verdade;Abdu' L - Bahá;1;Bahaísmo
0045/20 - 0194/22;2003;843 / A138t;O Tesouro do templo;Abé Cassis_ Eliette;2;Literatura Francesa
